,0
X_Maximum,723.656188605108
Y_Maximum,1431588.6895874264
Pixels_Areas,585.966601178782
X_Perimeter,54.49115913555992
Y_Perimeter,45.6581532416503
Sum_of_Luminosity,62191.1257367387
Minimum_of_Luminosity,96.23575638506877
Maximum_of_Luminosity,130.45186640471513
Length_of_Conveyer,1480.0176817288802
Steel_Plate_Thickness,104.21414538310412
Edges_Index,0.38542062868369353
Empty_Index,0.42658035363457764
Square_Index,0.5128595284872297
Outside_X_Index,0.01959489194499018
Edges_X_Index,0.6082972495088408
Edges_Y_Index,0.8305379174852653
Outside_Global_Index,0.6080550098231827
LogOfAreas,2.287429862475442
Log_X_Index,1.2265966601178784
Log_Y_Index,1.317860707269155
Orientation_Index,0.1363787819253438
Luminosity_Index,-0.11567013752455797
SigmoidOfAreas,0.5434695481335953
